n_hidden,width,cost
1,40,4.381753387860954e-5
1,40,6.782219315937255e-6
1,40,1.1851806647200647e-8
1,40,1.0567144272499718e-5
1,40,3.0885969408700475e-6
1,40,5.076237030721131e-8
1,40,3.558634716682718e-6
1,40,4.692234597314382e-6
1,40,4.7055571883447556e-8
1,40,1.34604636059521e-6
1,40,9.59839417191688e-6
1,40,1.0597420896374388e-6
1,40,2.1904315872234292e-6
1,40,2.363354724366218e-6
1,40,1.1504878330015345e-6
1,50,2.8551838227031112e-8
1,50,3.5983896395919146e-7
1,50,8.775500326407837e-9
1,50,2.1055109300505137e-6
1,50,1.2565085638627238e-9
1,50,1.957071162905777e-6
1,50,4.712776899395976e-6
1,50,3.236449330756841e-8
1,50,3.154180916453697e-8
1,50,5.197826453695598e-7
1,50,1.8343158103562018e-7
1,50,4.534085746854544e-6
1,50,6.595699346689798e-7
1,50,9.454845439904602e-7
1,50,1.4606873932621056e-8
1,50,3.566820794276282e-8
1,50,3.9289616893256607e-7
1,50,4.832135580556951e-9
1,50,1.290423142563668e-6
1,50,7.109249509085203e-7
1,50,1.3771589202349332e-8
1,50,1.9099916315212795e-8
1,50,2.1161142171877145e-8
1,50,3.6284444604461896e-7
1,50,4.335745870776009e-6
1,50,2.708474539758754e-6
1,50,2.1579553504125215e-6
1,50,1.2243219771335134e-7
1,50,2.0137441936185496e-8
1,50,1.64838915850396e-8
1,50,2.7891539744473448e-8
1,50,2.30205952078677e-8
1,50,1.400531424167184e-8
1,50,2.806448037517839e-6
1,50,2.0016213397866522e-7
1,50,1.946759539350751e-6
1,50,1.1124722732347436e-5
1,50,1.7223564796609026e-8
1,50,5.365054676076397e-7
1,50,1.3140986254711606e-7
1,50,1.7670474505848688e-7
1,50,8.997230906970799e-7
1,50,4.526697466644691e-6
1,50,4.378016456030309e-7
1,50,1.8343577323776117e-7
1,50,2.3590055775457586e-7
1,50,2.103329777014551e-8
1,50,9.146733077614044e-7
1,50,2.822674787239521e-7
1,50,3.092997076237225e-7
1,75,2.5313727292086696e-7
1,75,1.3121966624396464e-8
1,75,1.1788229947740092e-8
1,75,9.814863588530898e-9
1,75,3.079912858083844e-7
1,75,5.925633761449944e-9
1,75,8.427307989222754e-7
1,75,5.069078383712622e-7
1,75,9.165748160455678e-9
1,75,4.548686831640225e-7
1,75,1.780317386568253e-11
1,75,6.447054801128616e-8
1,75,9.166233994051254e-9
1,75,3.563447990018176e-6
1,75,1.2684148978543697e-13
1,75,2.879364657815131e-8
1,75,4.963404798274951e-9
1,75,5.970802741117609e-10
1,75,2.659143376604334e-7
1,75,1.6354763374692993e-6
1,75,1.5885755898647785e-23
1,75,7.262081158643241e-9
1,75,1.1093652219074102e-8
1,75,7.74989850071961e-9
1,75,5.218199135015311e-7
1,75,4.86044837089139e-6
1,75,1.210930918205122e-6
1,75,4.840440048781147e-9
1,75,1.219116143147403e-6
1,75,1.2244550262607845e-8
1,75,1.502931290531251e-8
1,75,1.180153752500246e-9
1,75,3.6548717616824433e-6
1,75,1.3558443257011277e-8
1,75,3.5756390843744157e-6
1,75,2.8204386381958102e-8
1,75,8.24274515309753e-9
1,75,5.450163431675037e-9
1,75,3.882397834331641e-7
1,75,2.0737966011097342e-8
1,75,1.4376146495465036e-8
1,75,1.2056053932951727e-8
1,75,1.560453938509454e-6
1,75,7.704654336748717e-8
1,75,2.43296716107011e-9
1,75,1.2721488751310517e-8
1,75,1.4409225812528348e-8
1,75,9.923172683556913e-7
1,75,6.213246024344699e-7
1,75,1.3499532158789407e-8
1,100,9.364239161868682e-9
1,100,2.2217784945155472e-8
1,100,1.1835100939907878e-14
1,100,1.2593751819167665e-8
1,100,1.3662385001111943e-8
1,100,1.3320758718293746e-8
1,100,1.8106348420587892e-7
